id	created	contents
3	2022-10-03 14:53:32.742567+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "14:53 03 October 2022", "num_samples": 50, "num_minutes": 0.23333333333333334, "accuracy": 0.7, "f1": 0.8235294117647058, "precision": 1.0, "recall": 0.7, "mistakes": [{"text": "you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .", "label": 1, "prediction": 0, "magnitude": 1.2999999523162842}]}
4	2022-10-03 15:44:52.317663+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "15:44 03 October 2022", "num_samples": 1066, "num_minutes": 3.966666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "debut effort by \" project greenlight \" winner is sappy and amateurish .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
5	2022-10-04 11:03:54.157141+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 04 October 2022", "num_samples": 1066, "num_minutes": 3.6166666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "[an] absorbing documentary .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "in moonlight mile , no one gets shut out of the hug cycle .", "label": 0, "prediction": 1, "magnitude": 0.5}]}
8	2022-10-05 11:10:49.79118+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:10 05 October 2022", "num_samples": 1066, "num_minutes": 10.483333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "it was filled with shootings , beatings , and more cussing than you could shake a stick at .", "label": 1, "prediction": 0, "magnitude": 0.699999988079071}, {"text": "an extraordinarily silly thriller .", "label": 0, "prediction": 1, "magnitude": 0.6000000238418579}]}
9	2022-10-06 11:03:37.767947+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 06 October 2022", "num_samples": 1066, "num_minutes": 3.2666666666666666, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) credit that we believe that that's exactly what these two people need to find each other -- and themselves .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "skillful as he is , mr . shyamalan is undone by his pretensions .", "label": 0, "prediction": 1, "magnitude": 1.2000000476837158}]}
10	2022-10-07 11:03:55.690527+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 07 October 2022", "num_samples": 1066, "num_minutes": 3.533333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "more trifle than triumph .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
11	2022-10-08 11:03:32.961583+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 08 October 2022", "num_samples": 1066, "num_minutes": 3.25, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means enjoy the new guy .", "label": 1, "prediction": 0, "magnitude": 1.2000000476837158}, {"text": "in his determination to lighten the heavy subject matter , silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
12	2022-10-09 11:04:31.513236+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 09 October 2022", "num_samples": 1066, "num_minutes": 4.2, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .", "label": 1, "prediction": 0, "magnitude": 0.699999988079071}, {"text": "there are many definitions of 'time waster' but this movie must surely be one of them .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
13	2022-10-10 11:04:37.205928+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 10 October 2022", "num_samples": 1066, "num_minutes": 4.266666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .", "label": 1, "prediction": 0, "magnitude": 0.30000001192092896}, {"text": "chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .", "label": 0, "prediction": 1, "magnitude": 0.20000000298023224}]}
14	2022-10-11 11:06:11.456068+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:06 11 October 2022", "num_samples": 1066, "num_minutes": 5.833333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "too daft by half . . . but supremely good natured .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
